iter	Passed	Remaining
1172	571764	403110
1173	572275	402640
1174	572771	402158
1175	573287	401691
1176	573791	401215
1177	574215	400683
1178	574674	400176
1179	575090	399639
1180	575633	399190
1181	576069	398667
1182	576507	398145
1183	576966	397638
1184	577519	397197
1185	578062	396748
1186	578579	396280
1187	579091	395810
1188	579614	395347
1189	580212	394934
1190	580707	394452
1191	581361	394077
1192	581948	393656
1193	582466	393188
1194	582968	392710
1195	583357	392156
1196	583881	391693
1197	584449	391259
1198	584976	390797
1199	585350	390233
1200	585805	389723
1201	586244	389204
1202	586671	388675
1203	587177	388200
1204	587715	387745
1205	588147	387221
1206	588646	386741
1207	589219	386309
1208	589640	385778
1209	590095	385269
1210	590742	384885
1211	591185	384368
1212	591655	383869
1213	592243	383446
1214	592752	382971
1215	593234	382480
1216	593739	382003
1217	594169	381478
1218	594616	380964
1219	595152	380507
1220	595535	379952
1221	596034	379471
1222	596413	378915
1223	596911	378434
1224	597518	378022
1225	597955	377502
1226	598394	376983
1227	598789	376437
1228	599229	375920
1229	599700	375422
1230	600106	374883
1231	600671	374444
1232	601268	374024
1233	601915	373636
1234	602321	373097
1235	602741	372568
1236	603119	372013
1237	603589	371514
1238	604171	371085
1239	604592	370556
1240	605096	370079
1241	605469	369521
1242	605938	369022
1243	606455	368553
1244	606919	368051
1245	607289	367492
1246	607789	367013
1247	608284	366530
1248	608738	366022
1249	609251	365550
1250	609707	365044
1251	610303	364622
1252	610782	364129
1253	611230	363618
1254	611645	363088
1255	612224	362655
1256	612753	362192
1257	613285	361730
1258	613870	361300
1259	614298	360778
1260	614883	360348
1261	615329	359835
1262	615874	359382
1263	616336	358879
1264	616813	358385
1265	617296	357895
1266	617726	357374
1267	618230	356896
1268	618844	356481
1269	619255	355949
1270	619701	355438
1271	620274	354999
1272	620859	354567
1273	621280	354042
1274	621769	353555
1275	622224	353049
1276	622600	352498
1277	623204	352076
1278	623690	351587
1279	624235	351132
1280	624704	350634
1281	625320	350218
1282	625815	349734
1283	626167	349171
1284	626646	348679
1285	627239	348249
1286	627677	347734
1287	628071	347194
1288	628531	346691
1289	629035	346213
1290	629547	345739
1291	630140	345308
1292	630505	344754
1293	630987	344263
1294	631579	343832
1295	632088	343356
1296	632525	342841
1297	633003	342348
1298	633556	341896
1299	634071	341423
1300	634523	340916
1301	634968	340405
1302	635465	339922
1303	636042	339482
1304	636564	339013
1305	637158	338582
1306	637585	338061
1307	637958	337513
1308	638424	337013
1309	638861	336499
1310	639307	335989
1311	639889	335551
1312	640400	335076
1313	640876	334582
1314	641327	334075
1315	641821	333591
1316	642270	333083
1317	642864	332650
1318	643298	332135
1319	643742	331624
1320	644174	331108
1321	644647	330613
1322	645131	330123
1323	645593	329623
1324	646039	329114
1325	646471	328598
1326	647023	328143
1327	647452	327626
1328	647964	327151
1329	648503	326689
1330	648950	326181
1331	649496	325723
1332	650011	325249
1333	650464	324744
1334	650919	324240
1335	651284	323692
